Winner: moiz | Scores: moiz 20 - daniyal 0
It's a draw | Scores: daniyal 0 - LEXSUS 0
Winner: dan | Scores: dan 20 - man 0
It's a draw | Scores: daniyal 0 - Lexsus 0
It's a draw | Scores: daniyal 0 - lexsus 0
Winner: daniyal | Scores: daniyal 10 - moiz 0
Winner: daniyal | Scores: daniyal 30 - moiz 0
Winner: daniyal | Scores: daniyal 40 - kashid 0
Winner: daniyal | Scores: daniyal 30 - jamil 0
Winner: daniy | Scores: daniy 50 - kashif 0
Winner: daniyal | Scores: daniyal 20 - hafiz 0
It's a draw | Scores: lux 0 - dann 0
It's a draw | Scores: lux 0 - dan 0
It's a draw | Scores: dan 0 - lux 0
It's a draw | Scores: lux 0 - dux 0
Winner: w | Scores: w 40 - b 0
Winner: hamza | Scores: hamza 10 - dann 0
It's a draw | Scores: hamza 0 - lux 0
It's a draw | Scores: lux 0 - hamza 0
It's a draw | Scores: lux 0 - hmmzh 0
Winner: daniyal | Scores: daniyal 20 - moizkiamma 0
Winner: daniyalkigandmdanda | Scores: daniyalkigandmdanda 10 - moizfromlondon 0
It's a draw | Scores: daniyalallthewayfromlondon 0 - hamzafromprostituitoncenter 0
Winner: daniyaljamil | Scores: daniyaljamil 20 - hamzashakeel 0
Winner: facku | Scores: facku 60 - fucku 0
Winner: hafizhamzafromlondon | Scores: daniyalhashimgarabi 0 - hafizhamzafromlondon 30
It's a draw | Scores: lux 0 - hmmzh 0
It's a draw | Scores: lux 0 - hmmzh 0
Winner: kdjks | Scores: luc 0 - kdjks 10
Winner: daniyalfromkaranchi | Scores: daniyalfromkaranchi 50 - hafizqarika 0
It's a draw | Scores: x 0 - 0 0
It's a draw | Scores:  0 -  0
It's a draw | Scores: lux 0 - hmmzh 0
It's a draw | Scores: lux 0 - hmmzh 0
It's a draw | Scores: hmmzg 0 - lux 0
